relative_path,bytes,sha256,last_write_time_utc,source,patch_version,collected_at
ml_leagues.cfg,3085,92D03C9CA04ED0D74C71B258AC956C29A44EA38B06AA31F68E9536AA543384FB,2026-04-27T01:42:39+00:00,user_supplied_reference,WORLD GOGOSZ; FL25/GOGOS52 labels; exact version unconfirmed,2026-08-31
ml_player_info.lua,41331,2CAA910E61B7CEA961F9FF6593B4D9F0D99F908F16A5B0E8EEA0C204F6846D4A,2026-05-23T16:16:01+00:00,user_supplied_reference,WORLD GOGOSZ; FL25/GOGOS52 labels; exact version unconfirmed,2026-08-31
ml_team_league.cfg,11344,AC394D4CF06C4A0A621DAC24193AE8F1A3597380139B60DD945BBD844045BD0E,2026-04-27T01:21:20+00:00,user_supplied_reference,WORLD GOGOSZ; FL25/GOGOS52 labels; exact version unconfirmed,2026-08-31
ml_teams.cfg,11718,35C9A7A692F225B73DE19BA60BD6769692C3BF296929CD46969AD7AAFA694317,2026-04-26T03:25:56+00:00,user_supplied_reference,WORLD GOGOSZ; FL25/GOGOS52 labels; exact version unconfirmed,2026-08-31
